央视频道,#genre#
CCTV1,
CCTV2,
CCTV3,
CCTV4,
CCTV5,
CCTV5+,
CCTV6,
CCTV7,
CCTV8,
CCTV9,
CCTV10,
CCTV11,
CCTV12,
CCTV13,
CCTV14,
CCTV15,
CCTV16,
CCTV17,

广东频道,#genre#
海丰,
珠海,
广东珠江,
广东体育,
广东民生,
广东少儿,

卫视频道,#genre#
湖南卫视,
浙江卫视,
东方卫视,
北京卫视,
江苏卫视,
安徽卫视,
重庆卫视,
四川卫视,
东南卫视,
深圳卫视,
广东卫视,
广西卫视,
厦门卫视,
南方卫视,
甘肃卫视,
贵州卫视,
河北卫视,
河南卫视,
黑龙江卫视,
湖北卫视,
江西卫视,
吉林卫视,
内蒙古卫视,
辽宁卫视,
宁夏卫视,
青海卫视,
山东卫视,
天津卫视,
海南卫视,
新疆卫视,
云南卫视,
西藏卫视,
海峡卫视,
兵团卫视,
黄河卫视,
安多卫视,
康巴卫视,
农林卫视,
三沙卫视,
延边卫视,

港·澳·台,#genre#
凤凰中文,
凤凰资讯,
凤凰香港,
TVBS欢乐,
TVBS亚洲,
TVBS新闻,
J2,
Viutv,
翡翠台,
明珠台,
三立台湾,
无线新闻,
三立新闻,
纬来体育,
纬来育乐,
凤凰卫视,
香港卫视,
东森综合,
东森超视,
东森电影,
Now剧集,
Now华剧,
靖天资讯,
星卫娱乐,
卫视卡式,

少儿频道,#genre#
蜡笔小新,https://liuliuliu.tv/api/channels/233/stream
东森幼幼,
iFun动漫,
momo亲子,
靖天映画,
黑莓动画,
嘉佳少儿,
卡酷少儿,
动漫秀场,
哈哈炫动,
金鹰卡通,
优漫卡通,
靖洋卡通,

影视频道,#genre#
CHC动作电影,
CHC高清电影,
CHC家庭影院,
NewTV惊悚悬疑,
NewTV动作电影,
黑莓电影,
纬来电影,
靖天戏剧,
星卫娱乐,
艾尔达娱乐,

影视解说,#genre#
阿斗归来了,https://www.goodiptv.club/huya/13303478
小驴影视,https://www.goodiptv.club/huya/24531382
牛叔说电影,https://www.goodiptv.club/douyu/2758565
小片片说大片,https://www.goodiptv.club/douyu/4258555
火龙果说电影,https://www.goodiptv.club/douyu/9559158
大鱼爱路飞,https://www.goodiptv.club/huya/25818873
DD-影视解说,https://www.goodiptv.club/huya/25650806
虫哥说电影,https://www.goodiptv.club/douyu/8915074
电影最TOP,https://www.goodiptv.club/huya/11774959
刘老师说电影,https://www.goodiptv.club/douyu/8317926
史君说剧,https://www.goodiptv.club/douyu/9419771

虎牙直播,#genre#
周星驰,https://www.goodiptv.club/huya/11342412
极限挑战,https://www.goodiptv.club/huya/11352914
茶啊二中,https://www.goodiptv.club/huya/11213191
性感大妈,https://www.goodiptv.club/huya/11602075
做人最要紧开心,https://www.goodiptv.club/huya/23824164
小龙人爱看动漫,https://www.goodiptv.club/huya/29113428
地狱ヽ妖妖,https://www.goodiptv.club/huya/11352869
小木子先生丶,https://www.goodiptv.club/huya/11342396
薛教授,https://www.goodiptv.club/huya/11342385
柠檬树下你和我,https://www.goodiptv.club/huya/11352892
还我瓢瓢拳,https://www.goodiptv.club/huya/21059578
武林萌主唐小姐,https://www.goodiptv.club/huya/11336726
刑罚梅乾,https://www.goodiptv.club/huya/691257
香港喜剧大全,https://www.goodiptv.club/huya/23865080
堆堆港剧日常,https://www.goodiptv.club/huya/23903123
海绵宝宝宝,https://www.goodiptv.club/huya/11352919
鯎爺,https://www.goodiptv.club/huya/11352944
我是詹密,https://www.goodiptv.club/huya/11342439
荒野达人,https://www.goodiptv.club/huya/11352975
萌新司机,https://www.goodiptv.club/huya/11352881
裸奔的蜗牛╮,https://www.goodiptv.club/huya/11342418
心疼得抱住胖胖的自己,https://www.goodiptv.club/huya/11342425
不发威当我Kitty,https://www.goodiptv.club/huya/11342403
四大裁子之首,https://www.goodiptv.club/huya/11602058

斗鱼直播,#genre#
大漠叔叔,https://www.goodiptv.club/douyu/1109218
我是郭杰瑞,https://www.goodiptv.club/douyu/7357786
篮球人物,https://www.goodiptv.club/douyu/8434598
都市夜魔人老王,https://www.goodiptv.club/douyu/610972
敬汉卿,https://www.goodiptv.club/douyu/2912165
活捉一只小怡寶,https://www.goodiptv.club/douyu/434971
白了个痴,https://www.goodiptv.club/douyu/319576
UnaDirezione,https://www.goodiptv.club/douyu/218859
少女可乐橙,https://www.goodiptv.club/douyu/20415
贾贵队长真男神,https://www.goodiptv.club/douyu/299854
进击的神乐,https://www.goodiptv.club/douyu/85894
当燕双鹰遇见李元芳,https://www.goodiptv.club/douyu/3439096
睡不着的小圆子,https://www.goodiptv.club/douyu/6566658
进击の神乐,https://www.goodiptv.club/douyu/122402
橙記Orange丶,https://www.goodiptv.club/douyu/4549169
周杰伦颜老师,https://www.goodiptv.club/douyu/7537296
伊太刀刀,https://www.goodiptv.club/douyu/747764
是一坨蓝翔啊,https://www.goodiptv.club/douyu/276200
爱情公寓95001,https://www.goodiptv.club/douyu/11720507
狂拽酷炫,https://www.goodiptv.club/douyu/4332
线条小狗a,https://www.goodiptv.club/douyu/11279861
PP看动漫,https://www.goodiptv.club/douyu/9837291
