央视频道,#genre#
CCTV-4K,http://120.79.4.185/md0418.php?id=cctv4k
CCTV-8K,http://120.79.4.185/md0418.php?id=cctv8k
CCTV1,http://120.79.4.185/md0418.php?id=cctv1
CCTV2,http://120.79.4.185/md0418.php?id=cctv2
CCTV3,http://120.79.4.185/md0418.php?id=cctv3
CCTV4,http://120.79.4.185/md0418.php?id=cctv4
CCTV5,http://120.79.4.185/md0418.php?id=cctv5
CCTV5+,http://120.79.4.185/md0418.php?id=cctv5p
CCTV6,http://120.79.4.185/md0418.php?id=cctv6
CCTV7,http://120.79.4.185/md0418.php?id=cctv7
CCTV8,http://120.79.4.185/md0418.php?id=cctv8
CCTV9,http://120.79.4.185/md0418.php?id=cctv9
CCTV10,http://120.79.4.185/md0418.php?id=cctv10
CCTV11,http://120.79.4.185/md0418.php?id=cctv11
CCTV12,http://120.79.4.185/md0418.php?id=cctv12
CCTV13,http://120.79.4.185/md0418.php?id=cctv13
CCTV14,http://120.79.4.185/md0418.php?id=cctv14
CCTV15,http://120.79.4.185/md0418.php?id=cctv15
CCTV16,http://120.79.4.185/md0418.php?id=cctv16
CCTV16-4K,http://120.79.4.185/md0418.php?id=cctv16-4k
CCTV17,http://120.79.4.185/md0418.php?id=cctv17
CCTV兵器科技,http://120.79.4.185/md0418.php?id=bqkj
CCTV第一剧场,http://120.79.4.185/md0418.php?id=dyjc
CCTV怀旧剧场,http://120.79.4.185/md0418.php?id=hjjc
CCTV风云剧场,http://120.79.4.185/md0418.php?id=fyjc
CCTV风云音乐,http://120.79.4.185/md0418.php?id=fyyy
CCTV风云足球,http://120.79.4.185/md0418.php?id=fyzq
CCTV电视指南,http://120.79.4.185/md0418.php?id=dszn
CCTV女性时尚,http://120.79.4.185/md0418.php?id=nxss
CCTV央视文化精品,http://120.79.4.185/md0418.php?id=whjp
CCTV世界地理,http://120.79.4.185/md0418.php?id=sjdl
CCTV高尔夫网球,http://120.79.4.185/md0418.php?id=gefwq
CCTV央视台球,http://120.79.4.185/md0418.php?id=ystq
CCTV卫生健康,http://120.79.4.185/md0418.php?id=wsjk
