请阅读 yuanzl77.github.io - LR

卫视频道,#genre#
北京卫视,http://120.79.4.185/md0504.php?id=bjws
天津卫视,http://120.79.4.185/md0504.php?id=tjws
东方卫视,http://120.79.4.185/md0504.php?id=dfws
重庆卫视,http://120.79.4.185/md0504.php?id=cqws
黑龙江卫视,http://120.79.4.185/md0504.php?id=hljws
辽宁卫视,http://120.79.4.185/md0504.php?id=lnws
河北卫视,http://120.79.4.185/md0504.php?id=hbws
山东卫视,http://120.79.4.185/md0504.php?id=sdws
安徽卫视,http://120.79.4.185/md0504.php?id=ahws
湖北卫视,http://120.79.4.185/md0504.php?id=hubws
湖南卫视,http://120.79.4.185/md0504.php?id=hunws
江西卫视,http://120.79.4.185/md0504.php?id=jxws
江苏卫视,http://120.79.4.185/md0504.php?id=jsws
浙江卫视,http://120.79.4.185/md0504.php?id=zjws
东南卫视,http://120.79.4.185/md0504.php?id=dnws
广东卫视,http://120.79.4.185/md0504.php?id=gdws
深圳卫视,http://120.79.4.185/md0504.php?id=szws
广西卫视,http://120.79.4.185/md0504.php?id=gxws
贵州卫视,http://120.79.4.185/md0504.php?id=gzws
四川卫视,http://120.79.4.185/md0504.php?id=scws
新疆卫视,http://120.79.4.185/md0504.php?id=xjws
海南卫视,http://120.79.4.185/md0504.php?id=hinws
兵团卫视,http://120.79.4.185/md0504.php?id=btws
河南卫视,http://120.79.4.185/md0504.php?id=hnws
